x,y,CHM.S,Slope.S,DistRoad.S,Height,Orientation,BHG,YCASC,Rat
576024.3066,8848228.287,-0.225974159,-0.062585945,-0.012767729,B,Horizontal,1,1,1
576094.3066,8848228.287,-0.163031996,-0.107620369,-0.012767729,B,Horizontal,1,1,1
576164.3066,8848228.287,-0.311826496,-0.131014152,0.009607898,B,Horizontal,1,1,1
576234.3066,8848228.287,-0.699355615,-0.189174463,0.074268601,B,Horizontal,1,1,1
576304.3066,8848228.287,-0.688260953,-0.253614799,0.175003729,B,Horizontal,1,1,1
576374.3066,8848228.287,-1.065610417,-0.266782572,0.304298358,B,Horizontal,1,1,1
576444.3066,8848228.287,-1.27995597,-0.311249854,0.213203766,B,Horizontal,1,1,1
576514.3066,8848228.287,-1.150005436,-0.115626235,-0.012767729,B,Horizontal,1,1,1
576584.3066,8848228.287,-1.159986467,0.593272007,-0.238739124,B,Horizontal,1,1,1
576654.3066,8848228.287,-1.190509808,2.059236015,-0.46471057,B,Horizontal,1,1,1
576724.3066,8848228.287,-1.223908358,2.594732862,-0.690682015,B,Horizontal,1,1,1
576794.3066,8848228.287,-0.894247755,0.809212776,-0.91665346,B,Horizontal,1,1,1
576864.3066,8848228.287,-1.426565609,-0.169756788,0,B,Horizontal,1,1,1
573714.3066,8848158.287,-1.520558452,-0.668665393,-0.91665346,B,Horizontal,1,1,1
573784.3066,8848158.287,0,0.237684374,0,B,Horizontal,1,1,1
573854.3066,8848158.287,-1.458732618,1.56495629,0,B,Horizontal,1,1,1
573924.3066,8848158.287,-0.664040755,1.863232399,0,B,Horizontal,1,1,1
573994.3066,8848158.287,-1.351869679,0.998668889,-0.91665346,B,Horizontal,1,1,1
574064.3066,8848158.287,-0.258867596,0.446452863,-0.82305302,B,Horizontal,1,1,1
574134.3066,8848158.287,-0.931148073,-0.087479153,-0.63733737,B,Horizontal,1,1,1
574204.3066,8848158.287,-0.485617092,-0.468886773,-0.690682015,B,Horizontal,1,1,1
574274.3066,8848158.287,-0.382638476,-0.221674487,-0.690682015,B,Horizontal,1,1,1
574344.3066,8848158.287,-1.354814072,0.243759374,-0.82305302,B,Horizontal,1,1,1
